episode,reward
0,-4.1205
100,0.502
200,0.9475
300,1.4235
400,1.8745
500,3.841
600,2.4585
700,2.3165
800,1.877
900,2.9175
1000,1.2395
1100,3.976
1200,1.3235
1300,1.472
1400,4.943
1500,0.7585
1600,2.7815
1700,3.033
1800,2.5335
1900,-0.5315
2000,2.8285
2100,1.7525
2200,0.856
2300,1.561
2400,1.2445
2500,2.471
2600,2.0985
2700,1.6485
2800,1.2565
2900,1.381
3000,3.369
3100,1.1825
3200,2.7735
3300,4.5755
3400,1.3565
3500,4.061
3600,2.8745
3700,3.3025
3800,3.895
3900,0.9015
4000,2.988
4100,2.4675
4200,5.65
4300,5.0915
4400,2.1085
4500,4.77
4600,2.583
4700,4.607
4800,1.7335
4900,3.9135
